Excipient,Tablet,Pellet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
UF-702,SPIM,AC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,96.03,3.97,0.67,0.23,0.47,0.54,0.6,0.32,0.2
UF-702,SPIM,AC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,96.52,3.48,0.02,0.26,0.66,0.61,0.53,0.34,0.16
UF-702,SPIM,AC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,95.81,4.19,-0.02,0.39,0.66,0.64,0.4,0.34,0.18
UF-702,SPIM,AC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,89.06,10.94,0.62,0.35,0.72,0.61,0.46,0.31,0.19
UF-702,SPIM,AC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,93.35,6.65,0.2,0.38,0.61,0.64,0.47,0.35,0.16
UF-702,SPIM,AC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,71.89,28.11,0.52,0.72,0.89,0.62,0.45,0.21,0.09
UF-702,SPIM,AC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,73.4,26.6,0.53,0.71,0.9,0.62,0.42,0.23,0.1
UF-702,SPIM,AC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,69.62,30.38,0.56,0.76,1.01,0.58,0.44,0.18,0.1
UF-702,SPIM,AC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,71.57,28.43,0.47,0.79,0.93,0.6,0.44,0.2,0.1
UF-711,SPIM,EC,20,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,104.41,-4.41,-0.09,0.19,0.42,0.54,0.55,0.34,0.26
UF-711,SPIM,EC,20,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,95.23,4.77,0.24,0.16,0.4,0.66,0.55,0.33,0.18
UF-711,SPIM,EC,20,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,102.42,-2.42,-0.02,0.21,0.41,0.54,0.57,0.37,0.24
UF-711,SPIM,EC,20,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,90.24,9.76,0.22,0.25,0.54,0.58,0.46,0.33,0.16
UF-711,SPIM,EC,40,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,99.91,0.09,0.05,0.18,0.41,0.58,0.54,0.38,0.2
UF-711,SPIM,EC,40,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,98.39,1.61,0.05,0.19,0.47,0.55,0.62,0.4,0.19
UF-711,SPIM,EC,40,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,98.81,1.19,-0.06,0.21,0.51,0.55,0.64,0.39,0.2
UF-711,SPIM,EC,40,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,98.34,1.66,0.05,0.22,0.47,0.62,0.59,0.37,0.22
UF-711,SPIM,EC,60,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,84.7,15.3,0.33,0.49,0.61,0.62,0.49,0.3,0.18
UF-711,SPIM,EC,60,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,89.89,10.11,0.22,0.43,0.53,0.69,0.54,0.34,0.2
UF-711,SPIM,EC,60,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,82.44,17.56,0.33,0.48,0.58,0.68,0.49,0.3,0.14
UF-711,SPIM,EC,60,UF,32.9675016,20.65,33.78,52.05,70.6,81.99,1.17848223,51.85,0.2644,0.41968254,1.58730159,0.37,45.02,82.05,17.95,0.48,0.52,0.54,0.65,0.52,0.31,0.15
